Supplier_Name,Region,Country,Functions,Service,Avg_Cost,Rating,Average_Delivery_Time,Number_of_Escalations,Years,Resources
Oracle,XY,Australia,administration,S4,165000,70,150,35,2019,7000
HCL,PQ,India,testing,S3,115000,100,100,50,2017,7000
IBM,AB,Australia,ITandInfrastructure,S1,200000,94,210,25,2016,4000
Infosys,PQ,India,RandD,S7,100000,82,150,25,2018,5000
Infosys,BC,France,administration,S5,200000,73,120,35,2020,8000
Accenture,XY,US,HR,S5,175000,85,150,35,2019,9000
Capgemini,PQ,US,HR,S6,125000,91,210,40,2018,5000
IBM,XY,UAE,testing,S3,115000,85,210,30,2018,6000
Oracle,XY,Japan,RandD,NULL,175000,80,270,40,2018,6000
Genpact,LM,UAE,testing,S1,125000,79,180,45,2022,10000
Accenture,NN,Japan,RandD,S7,115000,73,120,50,2018,3000
Infosys,AB,India,NULL,NULL,175000,96,150,40,2022,7000
HCL,XY,Germany,HR,S5,150000,90,120,40,2019,6000
Infosys,BC,Japan,consulting,NULL,175000,96,180,15,2017,7000
Oracle,BC,UAE,HR,S5,150000,99,270,35,2018,10000
Wipro,NN,Japan,HR,S3,100000,94,270,45,2021,10000
Zogho,PQ,Japan,ITandInfrastructure,S6,165000,88,210,50,2022,4000
Wipro,XX,UAE,ITandInfrastructure,S6,150000,86,210,45,2017,5000
IBM,XX,Canada,administration,S5,125000,71,180,15,2019,9000
Genpact,NN,Canada,ITandInfrastructure,S4,200000,93,135,50,2021,10000
Genpact,LM,UK,NULL,S6,125000,98,150,15,2020,3000
Wipro,LM,Canada,RandD,S6,165000,87,120,30,2017,3000
Zogho,AB,Japan,NULL,S7,125000,88,100,45,2019,4000
Capgemini,NULL,Canada,Finance,S4,100000,97,210,50,2020,6000
Genpact,NULL,UAE,NULL,S4,100000,80,120,35,2021,6000
Zogho,AB,UAE,Finance,S7,150000,99,180,30,2016,9000
HCL,NN,Canada,RandD,S3,100000,96,100,40,2021,4000
Accenture,XX,UAE,NULL,S7,200000,89,135,25,2017,3000
Oracle,NULL,Australia,consulting,S6,125000,83,180,20,2016,3000
Genpact,AB,Germany,administration,S5,165000,93,100,40,2017,8000
Zogho,LM,UK,HR,S7,150000,99,120,35,2016,3000
Capgemini,NN,US,testing,S5,165000,80,120,30,2020,10000
IBM,NULL,US,Finance,S7,200000,92,135,50,2021,3000
Capgemini,LM,UK,HR,NULL,175000,89,150,20,2018,9000
IBM,BC,UK,consulting,S4,115000,96,270,50,2016,5000
IBM,XX,US,NULL,S1,125000,95,135,35,2020,4000
Capgemini,PQ,Japan,NULL,S4,115000,98,100,30,2022,9000
Oracle,LM,Canada,ITandInfrastructure,S4,125000,72,100,35,2017,3000
Oracle,PQ,Germany,ITandInfrastructure,NULL,200000,78,270,20,2020,5000
Infosys,XY,Australia,NULL,S3,115000,78,100,50,2016,7000
Wipro,BC,US,RandD,S5,100000,89,270,30,2017,3000
HCL,PQ,France,NULL,S2,100000,98,210,45,2017,5000
Oracle,AB,India,HR,S1,175000,73,135,35,2017,9000
Accenture,NN,India,testing,NULL,175000,73,120,30,2020,3000
Zogho,XX,UAE,Finance,S6,125000,96,135,15,2016,10000
Zogho,NULL,Australia,HR,NULL,175000,89,135,20,2017,7000
IBM,BC,France,NULL,S2,100000,78,120,35,2021,4000
Oracle,XX,UK,HR,NULL,200000,77,210,40,2022,3000
IBM,PQ,Japan,consulting,S2,150000,94,180,30,2020,3000
IBM,XY,Germany,testing,S3,165000,71,100,30,2017,6000
Wipro,AB,Germany,ITandInfrastructure,S5,175000,82,180,25,2020,7000
Wipro,LM,UAE,ITandInfrastructure,S7,200000,84,150,40,2018,9000
Wipro,AB,India,ITandInfrastructure,S7,175000,70,210,25,2022,6000
Oracle,LM,UAE,HR,S5,165000,88,210,50,2020,5000
Accenture,NULL,UK,RandD,NULL,150000,87,150,15,2020,9000
Zogho,XY,France,ITandInfrastructure,S4,200000,97,150,35,2019,10000
Oracle,AB,Canada,administration,S1,125000,86,180,40,2022,3000
Infosys,LM,US,consulting,S4,200000,72,100,30,2016,5000
Zogho,BC,India,Finance,S2,175000,95,150,25,2020,6000
Infosys,BC,UAE,HR,S5,165000,74,100,20,2016,5000
Genpact,LM,UK,administration,S1,165000,86,270,45,2019,7000
Wipro,XY,UK,administration,S2,125000,89,100,40,2017,7000
Zogho,NULL,UK,ITandInfrastructure,S7,165000,73,210,25,2018,9000
HCL,XY,France,HR,S7,100000,82,135,35,2021,6000
Genpact,XX,UAE,RandD,S5,115000,92,210,40,2016,4000
Capgemini,XX,Canada,testing,S1,125000,71,150,50,2017,7000
Zogho,LM,Japan,consulting,S6,150000,80,270,25,2020,7000
Genpact,AB,India,ITandInfrastructure,S3,165000,87,270,30,2019,6000
Zogho,LM,France,administration,S1,175000,100,270,50,2019,7000
Genpact,PQ,Australia,NULL,S3,115000,89,210,25,2020,10000
Oracle,BC,France,Finance,NULL,125000,80,150,20,2018,9000
TATA,NN,Australia,testing,S4,165000,98,100,30,2019,4000
HCL,NULL,India,administration,S2,165000,91,210,50,2019,6000
HCL,NULL,India,RandD,S5,125000,88,270,25,2016,4000
Wipro,PQ,Australia,NULL,S7,200000,77,270,45,2016,5000
Wipro,LM,France,testing,S1,150000,73,100,40,2018,7000
TATA,XX,France,testing,S3,175000,85,180,30,2017,10000
Wipro,AB,Canada,testing,S5,150000,99,120,45,2016,4000
Genpact,LM,India,consulting,S6,200000,86,120,50,2017,4000
Wipro,AB,UK,administration,S1,125000,80,210,40,2021,8000
Wipro,LM,France,ITandInfrastructure,S3,150000,82,135,15,2022,9000
Wipro,BC,Japan,consulting,S6,175000,94,135,50,2018,8000
Infosys,NN,Canada,NULL,S5,115000,88,210,40,2016,10000
Wipro,XX,India,consulting,NULL,150000,89,270,50,2016,3000
Genpact,XY,US,consulting,S6,115000,70,180,50,2016,3000
Infosys,LM,UK,Finance,S6,100000,93,100,15,2017,10000
Infosys,LM,UAE,ITandInfrastructure,S2,125000,96,135,40,2018,5000
HCL,LM,US,testing,S4,200000,81,270,35,2020,6000
Wipro,NN,UK,ITandInfrastructure,S3,150000,95,270,25,2018,10000
HCL,NN,Japan,Finance,S5,150000,84,270,40,2017,4000
Capgemini,NN,Japan,consulting,S3,100000,99,100,35,2016,9000
Zogho,PQ,US,administration,S6,165000,86,100,40,2017,7000
IBM,NULL,US,ITandInfrastructure,S4,115000,90,150,15,2017,7000
Wipro,PQ,France,HR,S4,125000,79,135,30,2016,3000
Accenture,AB,Japan,HR,S3,125000,80,100,35,2017,9000
Capgemini,NULL,US,consulting,S5,115000,82,180,35,2018,6000
Infosys,NN,UK,HR,NULL,165000,98,210,45,2021,5000
IBM,NULL,Japan,consulting,S1,200000,80,120,35,2020,4000
Oracle,XY,Japan,administration,S3,150000,71,100,40,2022,4000
Genpact,PQ,Germany,consulting,S7,115000,79,150,25,2022,5000
Genpact,BC,France,administration,S1,115000,71,210,50,2020,10000
Zogho,NN,US,HR,S6,175000,85,100,30,2018,8000
Infosys,XY,Australia,administration,S3,115000,94,270,50,2022,6000
Zogho,XX,UK,consulting,S1,165000,75,270,15,2017,10000
HCL,NULL,Canada,Finance,S3,150000,96,100,30,2022,5000
Capgemini,NULL,Australia,Finance,S2,100000,81,180,35,2016,8000
Zogho,XY,UAE,NULL,S3,125000,70,135,50,2018,4000
HCL,XX,UK,Finance,S2,100000,81,135,20,2020,9000
TATA,XY,UK,HR,S7,200000,94,270,50,2020,6000
HCL,NULL,Canada,testing,S4,125000,82,180,50,2022,7000
TATA,XX,France,consulting,S7,100000,74,270,50,2021,10000
Infosys,NULL,US,testing,S7,150000,73,120,40,2017,9000
Capgemini,XX,France,consulting,S4,200000,70,100,25,2022,7000
Genpact,XY,US,RandD,S3,165000,86,210,15,2016,5000
IBM,BC,US,HR,S5,115000,70,135,30,2018,9000
Genpact,BC,India,HR,S7,115000,83,180,15,2019,9000
Infosys,LM,Australia,NULL,S6,175000,98,180,50,2020,7000
Zogho,AB,US,consulting,S2,115000,89,135,45,2021,9000
TATA,LM,Japan,ITandInfrastructure,NULL,100000,87,135,35,2021,10000
Zogho,PQ,UAE,RandD,NULL,175000,72,210,30,2020,10000
Capgemini,NN,Germany,HR,S2,115000,85,120,50,2020,3000
Accenture,BC,UAE,RandD,S2,100000,98,100,45,2022,6000
HCL,BC,UK,NULL,S7,125000,97,135,40,2021,6000
Infosys,XY,France,administration,S5,100000,82,120,15,2016,9000
Accenture,BC,Canada,ITandInfrastructure,S7,165000,75,120,30,2019,3000
Oracle,NULL,US,administration,S6,165000,96,100,15,2021,3000
IBM,XX,France,consulting,S2,200000,71,270,20,2021,7000
Wipro,NULL,Germany,Finance,S6,100000,97,120,35,2021,9000
Zogho,XX,UAE,RandD,S2,125000,95,135,30,2021,6000
Wipro,BC,Japan,testing,NULL,125000,74,180,20,2020,9000
Zogho,NULL,US,ITandInfrastructure,S5,175000,70,210,40,2022,8000
IBM,AB,Japan,ITandInfrastructure,S1,200000,74,135,35,2017,3000
HCL,XX,Germany,Finance,S1,200000,80,120,15,2018,9000
IBM,PQ,UAE,consulting,S5,175000,90,210,20,2017,5000
Infosys,LM,Germany,RandD,S7,150000,96,270,20,2016,10000
Zogho,XX,Germany,Finance,S1,125000,71,150,30,2022,6000
TATA,PQ,France,HR,S5,200000,84,210,45,2016,4000
Oracle,PQ,Australia,administration,S2,100000,82,180,20,2019,10000
HCL,NULL,UAE,Finance,NULL,150000,93,120,40,2016,10000
Wipro,BC,Australia,RandD,S3,125000,88,210,35,2022,8000
Oracle,NN,UAE,HR,NULL,150000,97,100,35,2022,8000
Infosys,NN,Australia,RandD,S7,175000,88,120,50,2022,5000
Genpact,LM,Japan,consulting,S2,175000,87,180,35,2017,7000
Accenture,BC,Japan,administration,S1,165000,70,150,35,2021,9000
Infosys,AB,US,NULL,S5,165000,95,150,30,2018,4000
Accenture,PQ,France,administration,S3,100000,77,210,50,2019,5000
TATA,LM,US,RandD,S4,165000,71,180,35,2021,8000
Capgemini,LM,Germany,administration,S6,115000,90,210,20,2021,7000
Wipro,LM,Australia,ITandInfrastructure,S5,200000,100,270,15,2019,4000
IBM,NULL,UK,ITandInfrastructure,S7,150000,83,135,35,2022,9000
Zogho,PQ,US,NULL,S5,175000,88,180,40,2017,10000
IBM,AB,US,testing,NULL,175000,97,180,45,2021,3000
Zogho,LM,US,HR,S2,115000,79,150,35,2021,9000
Capgemini,XX,UK,NULL,S4,100000,73,270,50,2020,8000
Infosys,XX,Canada,consulting,S4,115000,92,150,30,2016,6000
Wipro,NN,UAE,Finance,NULL,150000,83,180,30,2020,10000
Accenture,LM,UAE,NULL,S1,100000,78,135,25,2017,5000
Zogho,NULL,France,NULL,S1,175000,83,270,30,2021,3000
TATA,XX,US,consulting,NULL,100000,89,135,25,2016,8000
Wipro,LM,India,consulting,S5,115000,98,150,30,2021,7000
Zogho,LM,Canada,ITandInfrastructure,S5,165000,79,180,30,2016,5000
Wipro,NN,Japan,testing,S2,165000,92,135,25,2020,3000
Wipro,LM,France,administration,S5,125000,79,135,50,2020,4000
HCL,LM,Japan,consulting,S5,125000,78,150,30,2022,4000
IBM,NN,India,ITandInfrastructure,NULL,175000,86,120,40,2017,6000
IBM,BC,US,RandD,S2,115000,92,100,15,2022,9000
Capgemini,PQ,Germany,ITandInfrastructure,S1,100000,81,135,40,2021,10000
TATA,NN,Canada,testing,S4,165000,72,210,30,2022,3000
Wipro,XY,UAE,RandD,S2,200000,70,210,40,2019,5000
IBM,NULL,UK,administration,S1,165000,82,270,25,2017,7000
Accenture,BC,France,NULL,S3,165000,74,135,30,2018,5000
TATA,NN,Australia,ITandInfrastructure,S3,165000,93,180,30,2022,9000
Accenture,AB,UAE,administration,S7,115000,93,270,25,2020,4000
Zogho,PQ,Germany,RandD,S6,165000,97,150,20,2019,9000
Zogho,NULL,Germany,Finance,S3,150000,78,135,25,2016,5000
Oracle,PQ,France,RandD,S4,115000,98,120,20,2019,4000
Genpact,PQ,Germany,RandD,NULL,115000,100,135,15,2017,8000
TATA,NULL,Australia,RandD,NULL,175000,74,210,40,2022,4000
Accenture,BC,Germany,HR,S3,175000,96,120,25,2018,9000
Infosys,LM,Germany,RandD,S4,150000,89,270,25,2019,6000
IBM,NN,India,administration,S4,100000,74,120,35,2017,4000
Genpact,PQ,India,NULL,S3,165000,80,135,45,2017,4000
Zogho,XX,US,testing,S2,165000,70,120,40,2022,3000
Genpact,PQ,France,Finance,S1,125000,97,120,15,2017,9000
Capgemini,BC,Japan,HR,S5,100000,89,210,40,2017,7000
HCL,NN,India,NULL,NULL,200000,92,135,35,2021,9000
Wipro,AB,Australia,ITandInfrastructure,NULL,125000,100,135,45,2020,4000
HCL,XX,Germany,RandD,S1,200000,81,150,35,2021,3000
TATA,BC,France,NULL,S5,125000,96,270,15,2020,7000
HCL,XY,Japan,RandD,S7,150000,76,270,50,2016,8000
Accenture,NULL,France,NULL,S7,115000,78,210,35,2021,8000
IBM,AB,Germany,administration,S7,100000,70,150,30,2017,5000
Zogho,AB,France,testing,NULL,150000,82,135,40,2017,3000
Genpact,PQ,UAE,testing,S1,200000,96,120,45,2018,5000
Capgemini,NULL,Germany,NULL,S3,175000,84,120,30,2021,6000
IBM,AB,Canada,RandD,S4,175000,84,100,40,2016,4000
TATA,LM,Japan,administration,S1,165000,78,270,20,2020,3000
Capgemini,XY,US,consulting,S2,175000,81,100,45,2019,6000
IBM,XX,France,consulting,S5,150000,75,120,40,2016,4000
Oracle,BC,Australia,consulting,S4,175000,71,270,15,2021,6000
IBM,XY,UAE,administration,NULL,165000,96,180,15,2017,10000
Accenture,BC,US,testing,S5,150000,91,100,30,2021,10000
TATA,NULL,Germany,HR,NULL,165000,89,270,50,2021,8000
HCL,NULL,Canada,consulting,S1,165000,84,120,50,2016,10000
Oracle,AB,US,consulting,S5,150000,70,150,45,2016,8000
Zogho,BC,US,ITandInfrastructure,S4,150000,97,120,45,2021,6000
Accenture,NULL,Australia,ITandInfrastructure,S7,125000,76,270,30,2020,3000
Oracle,XX,Japan,ITandInfrastructure,S2,150000,89,100,35,2020,7000
Wipro,LM,Japan,administration,S2,115000,82,100,35,2017,9000
IBM,AB,France,Finance,S7,115000,83,210,30,2022,4000
HCL,NULL,Australia,Finance,S7,175000,87,135,20,2018,7000
Accenture,PQ,UK,HR,S1,115000,93,135,20,2020,4000
Wipro,LM,Canada,HR,S3,165000,78,100,30,2016,6000
Oracle,LM,France,testing,S3,125000,100,180,30,2019,3000
Accenture,AB,UAE,testing,S6,175000,78,150,15,2020,7000
Wipro,BC,France,RandD,S5,200000,98,135,35,2017,10000
Oracle,NULL,India,administration,S5,100000,95,210,40,2016,5000
Capgemini,XX,Canada,ITandInfrastructure,S2,165000,98,270,50,2017,10000
Infosys,AB,India,Finance,S2,175000,76,135,15,2022,8000
Oracle,NULL,UAE,NULL,S5,125000,99,270,15,2017,7000
Zogho,NN,US,RandD,NULL,115000,95,270,20,2017,5000
Zogho,BC,UAE,NULL,S4,200000,75,100,25,2017,9000
Zogho,NULL,Canada,ITandInfrastructure,S7,165000,72,135,50,2020,9000
HCL,AB,Canada,RandD,S7,200000,91,100,45,2021,6000
HCL,NN,UAE,administration,S1,150000,90,210,30,2022,9000
Capgemini,XX,India,administration,S2,175000,70,135,15,2020,3000
Accenture,NULL,UAE,Finance,S6,200000,88,150,20,2022,10000
Zogho,XY,India,testing,S5,200000,78,210,50,2016,10000
TATA,BC,India,administration,S6,175000,90,100,45,2017,4000
Infosys,AB,UAE,testing,S4,125000,88,150,25,2017,6000
Wipro,XY,Japan,Finance,NULL,150000,91,180,50,2022,5000
Capgemini,PQ,Australia,consulting,S2,200000,96,270,50,2021,6000
Zogho,NN,France,ITandInfrastructure,S4,125000,91,135,20,2016,3000
HCL,BC,France,HR,S3,115000,71,150,50,2019,6000
IBM,XY,France,HR,S4,165000,72,100,40,2016,5000
Genpact,NN,US,Finance,S7,100000,80,270,30,2019,4000
Zogho,AB,UK,NULL,S2,100000,73,135,40,2019,6000
Zogho,AB,India,testing,S1,100000,75,100,20,2021,7000
Accenture,NULL,UAE,HR,S6,175000,72,270,15,2022,8000
HCL,NN,Germany,HR,S7,115000,90,210,35,2017,5000
Zogho,XX,India,administration,S5,175000,74,150,50,2019,5000
Genpact,NULL,India,RandD,S3,200000,94,210,25,2021,10000
IBM,XY,UK,Finance,S4,175000,83,270,35,2016,3000
Genpact,NN,Australia,Finance,S5,165000,92,180,40,2022,8000
TATA,NN,US,administration,S7,175000,74,120,15,2020,3000
Wipro,XY,Canada,administration,S1,200000,82,210,15,2020,6000
Genpact,XX,US,HR,S3,175000,83,180,35,2017,10000
Wipro,AB,Canada,consulting,S4,165000,95,150,20,2022,10000
Accenture,LM,US,RandD,S1,200000,82,150,30,2018,8000
Accenture,XY,Canada,testing,S3,175000,96,210,20,2021,5000
Genpact,XY,UK,NULL,S6,165000,73,270,40,2019,7000
Infosys,NN,India,testing,S6,115000,71,120,45,2019,3000
TATA,XX,India,RandD,S3,200000,75,270,30,2022,3000
Accenture,NN,France,Finance,S3,100000,81,150,25,2022,6000
HCL,BC,India,NULL,S5,175000,74,120,25,2020,5000
Zogho,NN,US,Finance,S4,175000,74,100,45,2020,10000
IBM,BC,Germany,RandD,S3,200000,81,120,50,2019,6000
IBM,PQ,France,ITandInfrastructure,S3,115000,95,120,15,2022,6000
Oracle,NN,France,NULL,NULL,175000,80,180,40,2020,3000
IBM,LM,Canada,ITandInfrastructure,S2,175000,72,210,45,2021,3000
Wipro,XY,Japan,Finance,S3,125000,71,270,50,2019,7000
TATA,LM,UAE,administration,S5,125000,94,120,15,2021,6000
TATA,AB,Australia,NULL,S4,150000,99,150,50,2018,6000
Genpact,NN,Germany,Finance,NULL,165000,92,270,45,2021,4000
HCL,BC,Germany,testing,S5,165000,93,270,40,2021,5000
IBM,LM,Japan,ITandInfrastructure,NULL,115000,91,150,20,2021,4000
Oracle,LM,Canada,testing,NULL,200000,76,135,45,2016,7000
Capgemini,PQ,UAE,testing,S6,150000,96,135,45,2018,9000
HCL,XX,Australia,HR,S3,200000,80,135,25,2020,6000
Genpact,AB,France,consulting,S2,100000,92,180,30,2017,7000
IBM,XX,India,Finance,S4,150000,73,150,15,2017,10000
IBM,NN,UK,consulting,S4,100000,78,135,20,2019,6000
TATA,BC,UK,RandD,S1,150000,84,135,30,2017,7000
HCL,NULL,Japan,consulting,S3,125000,92,135,25,2017,4000
Wipro,XX,US,HR,S2,175000,82,150,40,2022,4000
IBM,BC,UAE,testing,S3,115000,89,180,30,2019,9000
TATA,PQ,France,Finance,S2,115000,98,100,15,2022,3000
